Group,Card,Number,Variant / Stamp,Source & Distribution,Status,Have,Image,Price Estimate
,Forretress ex,230/193,Regular,Ultra Rare (full art),Confirmed,,,
,Meowscarada ex,231/193,Regular,Ultra Rare (full art),Confirmed,,,
,Wo-Chien ex,232/193,Regular,Ultra Rare (full art),Confirmed,,,
,Skeledirge ex,233/193,Regular,Ultra Rare (full art),Confirmed,,,
,Chi-Yu ex,234/193,Regular,Ultra Rare (full art),Confirmed,,,
,Quaquaval ex,235/193,Regular,Ultra Rare (full art),Confirmed,,,
,Chien-Pao ex,236/193,Regular,Ultra Rare (full art),Confirmed,,,
,Bellibolt ex,237/193,Regular,Ultra Rare (full art),Confirmed,,,
,Slowking ex,238/193,Regular,Ultra Rare (full art),Confirmed,,,
,Dedenne ex,239/193,Regular,Ultra Rare (full art),Confirmed,,,
,Tinkaton ex,240/193,Regular,Ultra Rare (full art),Confirmed,,,
,Lycanroc ex,241/193,Regular,Ultra Rare (full art),Confirmed,,,
,Annihilape ex,242/193,Regular,Ultra Rare (full art),Confirmed,,,
,Ting-Lu ex,243/193,Regular,Ultra Rare (full art),Confirmed,,,
,Paldean Clodsire ex,244/193,Regular,Ultra Rare (full art),Confirmed,,,
,Copperajah ex,245/193,Regular,Ultra Rare (full art),Confirmed,,,
,Noivern ex,246/193,Regular,Ultra Rare (full art),Confirmed,,,
,Squawkabilly ex,247/193,Regular,Ultra Rare (full art),Confirmed,,,
,Boss's Orders,248/193,Regular,Ultra Rare (full art),Confirmed,,,
,Clavell,249/193,Regular,Ultra Rare (full art),Confirmed,,,
,Dendra,250/193,Regular,Ultra Rare (full art),Confirmed,,,
,Falkner,251/193,Regular,Ultra Rare (full art),Confirmed,,,
,Giacomo,252/193,Regular,Ultra Rare (full art),Confirmed,,,
,Grusha,253/193,Regular,Ultra Rare (full art),Confirmed,,,
,Iono,254/193,Regular,Ultra Rare (full art),Confirmed,,,
,Saguaro,255/193,Regular,Ultra Rare (full art),Confirmed,,,
,Meowscarada ex,256/193,Regular,,Confirmed,,,
,Wo-Chien ex,257/193,Regular,,Confirmed,,,
,Skeledirge ex,258/193,Regular,,Confirmed,,,
,Chi-Yu ex,259/193,Regular,,Confirmed,,,
,Quaquaval ex,260/193,Regular,,Confirmed,,,
,Chien-Pao ex,261/193,Regular,,Confirmed,,,
