Group,Card,Number,Variant / Stamp,Source & Distribution,Status,Have,Image,Price Estimate
,Simipour,042/182,Regular,,Confirmed,,,
,Simipour,042/182,Reverse holo,,Confirmed,,,
,Vanillite,043/182,Regular,,Confirmed,,,
,Vanillite,043/182,Reverse holo,,Confirmed,,,
,Vanillish,044/182,Regular,,Confirmed,,,
,Vanillish,044/182,Reverse holo,,Confirmed,,,
,Vanilluxe,045/182,Regular,,Confirmed,,,
,Vanilluxe,045/182,Reverse holo,,Confirmed,,,
,Tsareena ex,046/182,Regular,,Confirmed,,,
,Wimpod,047/182,Regular,,Confirmed,,,
,Wimpod,047/182,Reverse holo,,Confirmed,,,
,Wimpod,048/182,Regular,,Confirmed,,,
,Wimpod,048/182,Reverse holo,,Confirmed,,,
,Golisopod,049/182,Regular,,Confirmed,,,
,Golisopod,049/182,Reverse holo,,Confirmed,,,
,Golisopod ex,050/182,Regular,,Confirmed,,,
,Wiglett,051/182,Regular,,Confirmed,,,
,Wiglett,051/182,Reverse holo,,Confirmed,,,
,Wiglett,052/182,Regular,,Confirmed,,,
,Wiglett,052/182,Reverse holo,,Confirmed,,,
,Wugtrio,053/182,Regular,,Confirmed,,,
,Wugtrio,053/182,Reverse holo,,Confirmed,,,
,Veluza,054/182,Regular,,Confirmed,,,
,Veluza,054/182,Reverse holo,,Confirmed,,,
,Dondozo,055/182,Regular,,Confirmed,,,
,Dondozo,055/182,Reverse holo,,Confirmed,,,
,Iron Bundle,056/182,Regular,,Confirmed,,,
,Iron Bundle,056/182,Reverse holo,,Confirmed,,,
,Chien-Pao,057/182,Regular,,Confirmed,,,
,Chien-Pao,057/182,Reverse holo,,Confirmed,,,
,Mewtwo ex,058/182,Regular,,Confirmed,,,
,Elekid,059/182,Regular,,Confirmed,,,
,Elekid,059/182,Reverse holo,,Confirmed,,,
,Plusle,060/182,Regular,,Confirmed,,,
,Plusle,060/182,Reverse holo,,Confirmed,,,
,Minun,061/182,Regular,,Confirmed,,,
,Minun,061/182,Reverse holo,,Confirmed,,,
,Blitzle,062/182,Regular,,Confirmed,,,
,Blitzle,062/182,Reverse holo,,Confirmed,,,
,Zebstrika,063/182,Regular,,Confirmed,,,
,Zebstrika,063/182,Reverse holo,,Confirmed,,,
,Joltik,064/182,Regular,,Confirmed,,,
,Joltik,064/182,Reverse holo,,Confirmed,,,
,Galvantula,065/182,Regular,,Confirmed,,,
,Galvantula,065/182,Reverse holo,,Confirmed,,,
,Zekrom,066/182,Regular,,Confirmed,,,
,Zekrom,066/182,Reverse holo,,Confirmed,,,
,Oricorio,067/182,Regular,,Confirmed,,,
,Oricorio,067/182,Reverse holo,,Confirmed,,,
,Tapu Koko ex,068/182,Regular,,Confirmed,,,
,Toxel,069/182,Regular,,Confirmed,,,
,Toxel,069/182,Reverse holo,,Confirmed,,,
,Iron Hands ex,070/182,Regular,,Confirmed,,,
,Natu,071/182,Regular,,Confirmed,,,
,Natu,071/182,Reverse holo,,Confirmed,,,
,Xatu,072/182,Regular,,Confirmed,,,
,Xatu,072/182,Reverse holo,,Confirmed,,,
,Latios,073/182,Regular,,Confirmed,,,
,Latios,073/182,Reverse holo,,Confirmed,,,
,Deoxys,074/182,Regular,,Confirmed,,,
,Deoxys,074/182,Reverse holo,,Confirmed,,,
,Yamask,075/182,Regular,,Confirmed,,,
,Yamask,075/182,Reverse holo,,Confirmed,,,
,Cofagrigus ex,076/182,Regular,,Confirmed,,,
,Pumpkaboo,077/182,Regular,,Confirmed,,,
,Pumpkaboo,077/182,Reverse holo,,Confirmed,,,
,Gourgeist,078/182,Regular,,Confirmed,,,
,Gourgeist,078/182,Reverse holo,,Confirmed,,,
,Flittle,079/182,Regular,,Confirmed,,,
,Flittle,079/182,Reverse holo,,Confirmed,,,
,Flittle,080/182,Regular,,Confirmed,,,
,Flittle,080/182,Reverse holo,,Confirmed,,,
,Espathra,081/182,Regular,,Confirmed,,,
,Espathra,081/182,Reverse holo,,Confirmed,,,
,Tinkatink,082/182,Regular,,Confirmed,,,
,Tinkatink,082/182,Reverse holo,,Confirmed,,,
,Tinkatink,083/182,Regular,,Confirmed,,,
,Tinkatink,083/182,Reverse holo,,Confirmed,,,
,Tinkatuff,084/182,Regular,,Confirmed,,,
,Tinkatuff,084/182,Reverse holo,,Confirmed,,,
,Tinkaton,085/182,Regular,,Confirmed,,,
,Tinkaton,085/182,Reverse holo,,Confirmed,,,
