Group,Card,Number,Variant / Stamp,Source & Distribution,Status,Have,Image,Price Estimate
,Durant ex,215/191,Regular,Ultra Rare (full art),Confirmed,,,
,Scovillain ex,216/191,Regular,Ultra Rare (full art),Confirmed,,,
,Milotic ex,217/191,Regular,Ultra Rare (full art),Confirmed,,,
,Black Kyurem ex,218/191,Regular,Ultra Rare (full art),Confirmed,,,
,Pikachu ex,219/191,Regular,Ultra Rare (full art),Confirmed,,,
,Latias ex,220/191,Regular,Ultra Rare (full art),Confirmed,,,
,Palossand ex,221/191,Regular,Ultra Rare (full art),Confirmed,,,
,Flygon ex,222/191,Regular,Ultra Rare (full art),Confirmed,,,
,Hydreigon ex,223/191,Regular,Ultra Rare (full art),Confirmed,,,
,Archaludon ex,224/191,Regular,Ultra Rare (full art),Confirmed,,,
,Alolan Exeggutor ex,225/191,Regular,Ultra Rare (full art),Confirmed,,,
,Tatsugiri ex,226/191,Regular,Ultra Rare (full art),Confirmed,,,
,Slaking ex,227/191,Regular,Ultra Rare (full art),Confirmed,,,
,Cyclizar ex,228/191,Regular,Ultra Rare (full art),Confirmed,,,
,Clemont's Quick Wit,229/191,Regular,Ultra Rare (full art),Confirmed,,,
,Cyrano,230/191,Regular,Ultra Rare (full art),Confirmed,,,
,Drasna,231/191,Regular,Ultra Rare (full art),Confirmed,,,
,Drayton,232/191,Regular,Ultra Rare (full art),Confirmed,,,
,Jasmine's Gaze,233/191,Regular,Ultra Rare (full art),Confirmed,,,
,Lisia's Appeal,234/191,Regular,Ultra Rare (full art),Confirmed,,,
,Surfer,235/191,Regular,Ultra Rare (full art),Confirmed,,,
,Durant ex,236/191,Regular,,Confirmed,,,
,Milotic ex,237/191,Regular,,Confirmed,,,
,Pikachu ex,238/191,Regular,,Confirmed,,,
,Latias ex,239/191,Regular,,Confirmed,,,
,Hydreigon ex,240/191,Regular,,Confirmed,,,
,Archaludon ex,241/191,Regular,,Confirmed,,,
,Alolan Exeggutor ex,242/191,Regular,,Confirmed,,,
,Clemont's Quick Wit,243/191,Regular,,Confirmed,,,
,Drayton,244/191,Regular,,Confirmed,,,
,Jasmine's Gaze,245/191,Regular,,Confirmed,,,
,Lisia's Appeal,246/191,Regular,,Confirmed,,,
,Pikachu ex,247/191,Regular,,Confirmed,,,
,Alolan Exeggutor ex,248/191,Regular,,Confirmed,,,
,Counter Gain,249/191,Regular,,Confirmed,,,
,Gravity Mountain,250/191,Regular,,Confirmed,,,
,Night Stretcher,251/191,Regular,,Confirmed,,,
,Jet Energy,252/191,Regular,,Confirmed,,,
