Group,Card,Number,Variant / Stamp,Source & Distribution,Status,Have,Image,Price Estimate
,Klawf,122/198,Reverse holo,,Confirmed,,,
,Great Tusk ex,123/198,Regular,,Confirmed,,,
,Koraidon,124/198,Regular,,Confirmed,,,
,Koraidon,124/198,Reverse holo,,Confirmed,,,
,Koraidon ex,125/198,Regular,,Confirmed,,,
,Grimer,126/198,Regular,,Confirmed,,,
,Grimer,126/198,Reverse holo,,Confirmed,,,
,Muk,127/198,Regular,,Confirmed,,,
,Muk,127/198,Reverse holo,,Confirmed,,,
,Seviper,128/198,Regular,,Confirmed,,,
,Seviper,128/198,Reverse holo,,Confirmed,,,
,Spiritomb,129/198,Regular,,Confirmed,,,
,Spiritomb,129/198,Reverse holo,,Confirmed,,,
,Croagunk,130/198,Regular,,Confirmed,,,
,Croagunk,130/198,Reverse holo,,Confirmed,,,
,Toxicroak ex,131/198,Regular,,Confirmed,,,
,Pawniard,132/198,Regular,,Confirmed,,,
,Pawniard,132/198,Reverse holo,,Confirmed,,,
,Bisharp,133/198,Regular,,Confirmed,,,
,Bisharp,133/198,Reverse holo,,Confirmed,,,
,Kingambit,134/198,Regular,,Confirmed,,,
,Kingambit,134/198,Reverse holo,,Confirmed,,,
,Maschiff,135/198,Regular,,Confirmed,,,
,Maschiff,135/198,Reverse holo,,Confirmed,,,
,Maschiff,136/198,Regular,,Confirmed,,,
,Maschiff,136/198,Reverse holo,,Confirmed,,,
,Mabosstiff,137/198,Regular,,Confirmed,,,
,Mabosstiff,137/198,Reverse holo,,Confirmed,,,
,Bombirdier,138/198,Regular,,Confirmed,,,
,Bombirdier,138/198,Reverse holo,,Confirmed,,,
,Forretress,139/198,Regular,,Confirmed,,,
,Forretress,139/198,Reverse holo,,Confirmed,,,
,Varoom,140/198,Regular,,Confirmed,,,
,Varoom,140/198,Reverse holo,,Confirmed,,,
,Varoom,141/198,Regular,,Confirmed,,,
,Varoom,141/198,Reverse holo,,Confirmed,,,
,Revavroom,142/198,Regular,,Confirmed,,,
,Revavroom,142/198,Reverse holo,,Confirmed,,,
,Iron Treads ex,143/198,Regular,,Confirmed,,,
,Chansey,144/198,Regular,,Confirmed,,,
,Chansey,144/198,Reverse holo,,Confirmed,,,
,Blissey,145/198,Regular,,Confirmed,,,
,Blissey,145/198,Reverse holo,,Confirmed,,,
,Zangoose,146/198,Regular,,Confirmed,,,
,Zangoose,146/198,Reverse holo,,Confirmed,,,
,Zangoose,147/198,Regular,,Confirmed,,,
,Zangoose,147/198,Reverse holo,,Confirmed,,,
,Starly,148/198,Regular,,Confirmed,,,
,Starly,148/198,Reverse holo,,Confirmed,,,
,Staravia,149/198,Regular,,Confirmed,,,
,Staravia,149/198,Reverse holo,,Confirmed,,,
,Staraptor,150/198,Regular,,Confirmed,,,
,Staraptor,150/198,Reverse holo,,Confirmed,,,
,Skwovet,151/198,Regular,,Confirmed,,,
,Skwovet,151/198,Reverse holo,,Confirmed,,,
,Greedent,152/198,Regular,,Confirmed,,,
,Greedent,152/198,Reverse holo,,Confirmed,,,
,Indeedee,153/198,Regular,,Confirmed,,,
,Indeedee,153/198,Reverse holo,,Confirmed,,,
,Lechonk,154/198,Regular,,Confirmed,,,
,Lechonk,154/198,Reverse holo,,Confirmed,,,
,Lechonk,155/198,Regular,,Confirmed,,,
,Lechonk,155/198,Reverse holo,,Confirmed,,,
,Lechonk,156/198,Regular,,Confirmed,,,
,Lechonk,156/198,Reverse holo,,Confirmed,,,
,Oinkologne,157/198,Regular,,Confirmed,,,
,Oinkologne,157/198,Reverse holo,,Confirmed,,,
,Oinkologne ex,158/198,Regular,,Confirmed,,,
,Tandemaus,159/198,Regular,,Confirmed,,,
,Tandemaus,159/198,Reverse holo,,Confirmed,,,
,Tandemaus,160/198,Regular,,Confirmed,,,
,Tandemaus,160/198,Reverse holo,,Confirmed,,,
,Maushold,161/198,Regular,,Confirmed,,,
,Maushold,161/198,Reverse holo,,Confirmed,,,
,Squawkabilly,162/198,Regular,,Confirmed,,,
,Squawkabilly,162/198,Reverse holo,,Confirmed,,,
,Cyclizar,163/198,Regular,,Confirmed,,,
,Cyclizar,163/198,Reverse holo,,Confirmed,,,
,Cyclizar,164/198,Regular,,Confirmed,,,
,Cyclizar,164/198,Reverse holo,,Confirmed,,,
,Flamigo,165/198,Regular,,Confirmed,,,
,Flamigo,165/198,Reverse holo,,Confirmed,,,
,Arven,166/198,Regular,,Confirmed,,,
,Arven,166/198,Reverse holo,,Confirmed,,,
,Beach Court,167/198,Regular,,Confirmed,,,
,Beach Court,167/198,Reverse holo,,Confirmed,,,
,Crushing Hammer,168/198,Regular,,Confirmed,,,
,Crushing Hammer,168/198,Reverse holo,,Confirmed,,,
,Defiance Band,169/198,Regular,,Confirmed,,,
,Defiance Band,169/198,Reverse holo,,Confirmed,,,
,Electric Generator,170/198,Regular,,Confirmed,,,
,Electric Generator,170/198,Reverse holo,,Confirmed,,,
,Energy Retrieval,171/198,Regular,,Confirmed,,,
,Energy Retrieval,171/198,Reverse holo,,Confirmed,,,
,Energy Search,172/198,Regular,,Confirmed,,,
,Energy Search,172/198,Reverse holo,,Confirmed,,,
,Energy Switch,173/198,Regular,,Confirmed,,,
,Energy Switch,173/198,Reverse holo,,Confirmed,,,
,Exp. Share,174/198,Regular,,Confirmed,,,
,Exp. Share,174/198,Reverse holo,,Confirmed,,,
,Jacq,175/198,Regular,,Confirmed,,,
,Jacq,175/198,Reverse holo,,Confirmed,,,
,Judge,176/198,Regular,,Confirmed,,,
,Judge,176/198,Reverse holo,,Confirmed,,,
,Katy,177/198,Regular,,Confirmed,,,
,Katy,177/198,Reverse holo,,Confirmed,,,
,Mesagoza,178/198,Regular,,Confirmed,,,
,Mesagoza,178/198,Reverse holo,,Confirmed,,,
,Miriam,179/198,Regular,,Confirmed,,,
,Miriam,179/198,Reverse holo,,Confirmed,,,
,Nemona,180/198,Regular,,Confirmed,,,
,Nemona,180/198,Reverse holo,,Confirmed,,,
,Nest Ball,181/198,Regular,,Confirmed,,,
,Nest Ball,181/198,Reverse holo,,Confirmed,,,
,Pal Pad,182/198,Regular,,Confirmed,,,
,Pal Pad,182/198,Reverse holo,,Confirmed,,,
,Penny,183/198,Regular,,Confirmed,,,
,Penny,183/198,Reverse holo,,Confirmed,,,
,Picnic Basket,184/198,Regular,,Confirmed,,,
,Picnic Basket,184/198,Reverse holo,,Confirmed,,,
,Poké Ball,185/198,Regular,,Confirmed,,,
,Poké Ball,185/198,Reverse holo,,Confirmed,,,
,Pokégear 3.0,186/198,Regular,,Confirmed,,,
,Pokégear 3.0,186/198,Reverse holo,,Confirmed,,,
,Pokémon Catcher,187/198,Regular,,Confirmed,,,
,Pokémon Catcher,187/198,Reverse holo,,Confirmed,,,
,Potion,188/198,Regular,,Confirmed,,,
,Potion,188/198,Reverse holo,,Confirmed,,,
,Professor's Research,189/198,Regular,,Confirmed,,,
