Group,Card,Number,Variant / Stamp,Source & Distribution,Status,Have,Image,Price Estimate
,Seaking,021/131,Reverse holo,,Confirmed,,,
,Vaporeon,022/131,Regular,,Confirmed,,,
,Vaporeon,022/131,Reverse holo,,Confirmed,,,
,Vaporeon ex,023/131,Regular,,Confirmed,,,
,Suicune,024/131,Regular,,Confirmed,,,
,Suicune,024/131,Reverse holo,,Confirmed,,,
,Glaceon,025/131,Regular,,Confirmed,,,
,Glaceon,025/131,Reverse holo,,Confirmed,,,
,Glaceon ex,026/131,Regular,,Confirmed,,,
,Wellspring Mask Ogerpon ex,027/131,Regular,,Confirmed,,,
,Pikachu ex,028/131,Regular,,Confirmed,,,
,Jolteon,029/131,Regular,,Confirmed,,,
,Jolteon,029/131,Reverse holo,,Confirmed,,,
,Jolteon ex,030/131,Regular,,Confirmed,,,
,Iron Hands ex,031/131,Regular,,Confirmed,,,
,Iron Thorns ex,032/131,Regular,,Confirmed,,,
,Espeon,033/131,Regular,,Confirmed,,,
,Espeon,033/131,Reverse holo,,Confirmed,,,
,Espeon ex,034/131,Regular,,Confirmed,,,
,Duskull,035/131,Regular,,Confirmed,,,
,Duskull,035/131,Reverse holo,,Confirmed,,,
,Dusclops,036/131,Regular,,Confirmed,,,
,Dusclops,036/131,Reverse holo,,Confirmed,,,
,Dusknoir,037/131,Regular,,Confirmed,,,
,Dusknoir,037/131,Reverse holo,,Confirmed,,,
,Spritzee,038/131,Regular,,Confirmed,,,
,Spritzee,038/131,Reverse holo,,Confirmed,,,
,Aromatisse,039/131,Regular,,Confirmed,,,
,Aromatisse,039/131,Reverse holo,,Confirmed,,,
,Sylveon,040/131,Regular,,Confirmed,,,
,Sylveon,040/131,Reverse holo,,Confirmed,,,
,Sylveon ex,041/131,Regular,,Confirmed,,,
,Scream Tail,042/131,Regular,,Confirmed,,,
,Scream Tail,042/131,Reverse holo,,Confirmed,,,
,Flutter Mane,043/131,Regular,,Confirmed,,,
,Flutter Mane,043/131,Reverse holo,,Confirmed,,,
,Munkidori,044/131,Regular,,Confirmed,,,
,Munkidori,044/131,Reverse holo,,Confirmed,,,
,Fezandipiti,045/131,Regular,,Confirmed,,,
,Fezandipiti,045/131,Reverse holo,,Confirmed,,,
,Iron Boulder,046/131,Regular,,Confirmed,,,
,Iron Boulder,046/131,Reverse holo,,Confirmed,,,
,Larvitar,047/131,Regular,,Confirmed,,,
,Larvitar,047/131,Reverse holo,,Confirmed,,,
,Pupitar,048/131,Regular,,Confirmed,,,
,Pupitar,048/131,Reverse holo,,Confirmed,,,
,Groudon,049/131,Regular,,Confirmed,,,
,Groudon,049/131,Reverse holo,,Confirmed,,,
,Riolu,050/131,Regular,,Confirmed,,,
,Riolu,050/131,Reverse holo,,Confirmed,,,
,Lucario ex,051/131,Regular,,Confirmed,,,
,Hippopotas,052/131,Regular,,Confirmed,,,
,Hippopotas,052/131,Reverse holo,,Confirmed,,,
,Hippowdon,053/131,Regular,,Confirmed,,,
,Hippowdon,053/131,Reverse holo,,Confirmed,,,
,Bloodmoon Ursaluna,054/131,Regular,,Confirmed,,,
,Bloodmoon Ursaluna,054/131,Reverse holo,,Confirmed,,,
,Great Tusk,055/131,Regular,,Confirmed,,,
,Great Tusk,055/131,Reverse holo,,Confirmed,,,
,Sandy Shocks ex,056/131,Regular,,Confirmed,,,
,Okidogi,057/131,Regular,,Confirmed,,,
,Okidogi,057/131,Reverse holo,,Confirmed,,,
,Cornerstone Mask Ogerpon ex,058/131,Regular,,Confirmed,,,
,Umbreon,059/131,Regular,,Confirmed,,,
,Umbreon,059/131,Reverse holo,,Confirmed,,,
,Umbreon ex,060/131,Regular,,Confirmed,,,
,Sneasel,061/131,Regular,,Confirmed,,,
,Sneasel,061/131,Reverse holo,,Confirmed,,,
,Houndour,062/131,Regular,,Confirmed,,,
,Houndour,062/131,Reverse holo,,Confirmed,,,
,Houndoom,063/131,Regular,,Confirmed,,,
,Houndoom,063/131,Reverse holo,,Confirmed,,,
