Group,Card,Number,Variant / Stamp,Source & Distribution,Status,Have,Image,Price Estimate
,Team Rocket's Ariana,171/182,Regular,,Confirmed,,,
,Team Rocket's Ariana,171/182,Reverse holo,,Confirmed,,,
,Team Rocket's Bother-Bot,172/182,Regular,,Confirmed,,,
,Team Rocket's Bother-Bot,172/182,Reverse holo,,Confirmed,,,
,Team Rocket's Factory,173/182,Regular,,Confirmed,,,
,Team Rocket's Factory,173/182,Reverse holo,,Confirmed,,,
,Team Rocket's Giovanni,174/182,Regular,,Confirmed,,,
,Team Rocket's Giovanni,174/182,Reverse holo,,Confirmed,,,
,Team Rocket's Great Ball,175/182,Regular,,Confirmed,,,
,Team Rocket's Great Ball,175/182,Reverse holo,,Confirmed,,,
,Team Rocket's Petrel,176/182,Regular,,Confirmed,,,
,Team Rocket's Petrel,176/182,Reverse holo,,Confirmed,,,
,Team Rocket's Proton,177/182,Regular,,Confirmed,,,
,Team Rocket's Proton,177/182,Reverse holo,,Confirmed,,,
,Team Rocket's Transceiver,178/182,Regular,,Confirmed,,,
,Team Rocket's Transceiver,178/182,Reverse holo,,Confirmed,,,
,Team Rocket's Venture Bomb,179/182,Regular,,Confirmed,,,
,Team Rocket's Venture Bomb,179/182,Reverse holo,,Confirmed,,,
,Team Rocket's Watchtower,180/182,Regular,,Confirmed,,,
,Team Rocket's Watchtower,180/182,Reverse holo,,Confirmed,,,
,TM Machine,181/182,Regular,,Confirmed,,,
,TM Machine,181/182,Reverse holo,,Confirmed,,,
,Team Rocket's Energy,182/182,Regular,,Confirmed,,,
,Team Rocket's Energy,182/182,Reverse holo,,Confirmed,,,
,Yanma,183/182,Regular,,Confirmed,,,
,Cynthia's Roserade,184/182,Regular,,Confirmed,,,
,Shaymin,185/182,Regular,,Confirmed,,,
,Crustle,186/182,Regular,,Confirmed,,,
,Team Rocket's Spidops,187/182,Regular,,Confirmed,,,
,Hydrapple,188/182,Regular,,Confirmed,,,
,Rapidash,189/182,Regular,,Confirmed,,,
,Ethan's Typhlosion,190/182,Regular,,Confirmed,,,
,Team Rocket's Houndoom,191/182,Regular,,Confirmed,,,
,Blaziken,192/182,Regular,,Confirmed,,,
,Misty's Psyduck,193/182,Regular,,Confirmed,,,
,Misty's Lapras,194/182,Regular,,Confirmed,,,
,Clamperl,195/182,Regular,,Confirmed,,,
,Electrike,196/182,Regular,,Confirmed,,,
,Rotom,197/182,Regular,,Confirmed,,,
,Team Rocket's Orbeetle,198/182,Regular,,Confirmed,,,
,Team Rocket's Weezing,199/182,Regular,,Confirmed,,,
,Team Rocket's Murkrow,200/182,Regular,,Confirmed,,,
,Zamazenta,201/182,Regular,,Confirmed,,,
,Team Rocket's Raticate,202/182,Regular,,Confirmed,,,
,Team Rocket's Meowth,203/182,Regular,,Confirmed,,,
,Kangaskhan,204/182,Regular,,Confirmed,,,
,Arven's Greedent,205/182,Regular,,Confirmed,,,
,Yanmega ex,206/182,Regular,Ultra Rare (full art),Confirmed,,,
,Arboliva ex,207/182,Regular,Ultra Rare (full art),Confirmed,,,
,Team Rocket's Moltres ex,208/182,Regular,Ultra Rare (full art),Confirmed,,,
,Ethan's Ho-Oh ex,209/182,Regular,Ultra Rare (full art),Confirmed,,,
,Cetitan ex,210/182,Regular,Ultra Rare (full art),Confirmed,,,
,Dondozo ex,211/182,Regular,Ultra Rare (full art),Confirmed,,,
,Electivire ex,212/182,Regular,Ultra Rare (full art),Confirmed,,,
,Team Rocket's Mewtwo ex,213/182,Regular,Ultra Rare (full art),Confirmed,,,
,Regirock ex,214/182,Regular,Ultra Rare (full art),Confirmed,,,
,Cynthia's Garchomp ex,215/182,Regular,Ultra Rare (full art),Confirmed,,,
,Team Rocket's Nidoking ex,216/182,Regular,Ultra Rare (full art),Confirmed,,,
,Team Rocket's Crobat ex,217/182,Regular,Ultra Rare (full art),Confirmed,,,
,Arven's Mabosstiff ex,218/182,Regular,Ultra Rare (full art),Confirmed,,,
,Team Rocket's Persian ex,219/182,Regular,Ultra Rare (full art),Confirmed,,,
,Emcee's Hype,220/182,Regular,Ultra Rare (full art),Confirmed,,,
,Ethan's Adventure,221/182,Regular,Ultra Rare (full art),Confirmed,,,
,Judge,222/182,Regular,Ultra Rare (full art),Confirmed,,,
,Team Rocket's Archer,223/182,Regular,Ultra Rare (full art),Confirmed,,,
,Team Rocket's Ariana,224/182,Regular,Ultra Rare (full art),Confirmed,,,
,Team Rocket's Giovanni,225/182,Regular,Ultra Rare (full art),Confirmed,,,
,Team Rocket's Petrel,226/182,Regular,Ultra Rare (full art),Confirmed,,,
,Team Rocket's Proton,227/182,Regular,Ultra Rare (full art),Confirmed,,,
,Yanmega ex,228/182,Regular,,Confirmed,,,
,Team Rocket's Moltres ex,229/182,Regular,,Confirmed,,,
,Ethan's Ho-Oh ex,230/182,Regular,,Confirmed,,,
,Team Rocket's Mewtwo ex,231/182,Regular,,Confirmed,,,
,Cynthia's Garchomp ex,232/182,Regular,,Confirmed,,,
,Team Rocket's Nidoking ex,233/182,Regular,,Confirmed,,,
,Team Rocket's Crobat ex,234/182,Regular,,Confirmed,,,
,Arven's Mabosstiff ex,235/182,Regular,,Confirmed,,,
,Ethan's Adventure,236/182,Regular,,Confirmed,,,
,Team Rocket's Ariana,237/182,Regular,,Confirmed,,,
,Team Rocket's Giovanni,238/182,Regular,,Confirmed,,,
,Ethan's Ho-Oh ex,239/182,Regular,,Confirmed,,,
,Team Rocket's Mewtwo ex,240/182,Regular,,Confirmed,,,
,Cynthia's Garchomp ex,241/182,Regular,,Confirmed,,,
,Team Rocket's Crobat ex,242/182,Regular,,Confirmed,,,
,Jamming Tower,243/182,Regular,,Confirmed,,,
,Levincia,244/182,Regular,,Confirmed,,,
