Group,Card,Number,Variant / Stamp,Source,Status,Price,Have,Image URL
Base Set,,,,,,,,
,Grapploct,113/191,Regular,,Confirmed,,0,
,Grapploct,113/191,Reverse holo,,Confirmed,,0,
,Glimmet,114/191,Regular,,Confirmed,,0,
,Glimmet,114/191,Reverse holo,,Confirmed,,0,
,Glimmora,115/191,Regular,,Confirmed,,0,
,Glimmora,115/191,Reverse holo,,Confirmed,,0,
,Koraidon,116/191,Regular,,Confirmed,,0,
,Koraidon,116/191,Reverse holo,,Confirmed,,0,
,Deino,117/191,Regular,,Confirmed,,0,
,Deino,117/191,Reverse holo,,Confirmed,,0,
,Zweilous,118/191,Regular,,Confirmed,,0,
,Zweilous,118/191,Reverse holo,,Confirmed,,0,
,Hydreigon ex,119/191,Regular,,Confirmed,,0,
,Shroodle,120/191,Regular,,Confirmed,,0,
,Shroodle,120/191,Reverse holo,,Confirmed,,0,
,Grafaiai,121/191,Regular,,Confirmed,,0,
,Grafaiai,121/191,Reverse holo,,Confirmed,,0,
,Alolan Diglett,122/191,Regular,,Confirmed,,0,
,Alolan Diglett,122/191,Reverse holo,,Confirmed,,0,
,Alolan Dugtrio,123/191,Regular,,Confirmed,,0,
,Alolan Dugtrio,123/191,Reverse holo,,Confirmed,,0,
,Skarmory,124/191,Regular,,Confirmed,,0,
,Skarmory,124/191,Reverse holo,,Confirmed,,0,
,Registeel,125/191,Regular,,Confirmed,,0,
,Registeel,125/191,Reverse holo,,Confirmed,,0,
,Bronzor,126/191,Regular,,Confirmed,,0,
,Bronzor,126/191,Reverse holo,,Confirmed,,0,
,Bronzong,127/191,Regular,,Confirmed,,0,
,Bronzong,127/191,Reverse holo,,Confirmed,,0,
,Klefki,128/191,Regular,,Confirmed,,0,
,Klefki,128/191,Reverse holo,,Confirmed,,0,
,Duraludon,129/191,Regular,,Confirmed,,0,
,Duraludon,129/191,Reverse holo,,Confirmed,,0,
,Archaludon ex,130/191,Regular,,Confirmed,,0,
,Gholdengo,131/191,Regular,,Confirmed,,0,
,Gholdengo,131/191,Reverse holo,,Confirmed,,0,
,Iron Crown,132/191,Regular,,Confirmed,,0,
,Iron Crown,132/191,Reverse holo,,Confirmed,,0,
,Alolan Exeggutor ex,133/191,Regular,,Confirmed,,0,
,Altaria,134/191,Regular,,Confirmed,,0,
,Altaria,134/191,Reverse holo,,Confirmed,,0,
,Dialga,135/191,Regular,,Confirmed,,0,
,Dialga,135/191,Reverse holo,,Confirmed,,0,
,Palkia,136/191,Regular,,Confirmed,,0,
,Palkia,136/191,Reverse holo,,Confirmed,,0,
,Turtonator,137/191,Regular,,Confirmed,,0,
,Turtonator,137/191,Reverse holo,,Confirmed,,0,
,Applin,138/191,Regular,,Confirmed,,0,
,Applin,138/191,Reverse holo,,Confirmed,,0,
,Flapple,139/191,Regular,,Confirmed,,0,
,Flapple,139/191,Reverse holo,,Confirmed,,0,
,Appletun,140/191,Regular,,Confirmed,,0,
